Timestamp (s),Magnitude 1 (dB),Magnitude 2 (dB),Magnitude Difference (dB),Phase Difference (deg)
62.169955015182495,19.52299663779286,-56.093592683206936,-75.6165893209998,190.1729030750965
62.22909379005432,19.53246957121995,-56.17268918816361,-75.70515875938355,190.31759438283737
62.28845000267029,19.526788160389845,-56.16381499532789,-75.69060315571774,-170.00531068020527
62.34651494026184,19.512968409126845,-56.049206664350706,-75.56217507347755,190.22216975341883
62.40509581565857,19.532836390539703,-56.16931530848024,-75.70215169901995,-169.82396828644983
62.464743852615356,19.51667443158903,-56.07907678177895,-75.59575121336798,190.2385790241574
62.52390098571777,19.530926367492654,-56.16132014481103,-75.69224651230368,-169.60453468675138
62.583422899246216,19.529731023010722,-56.13923346705256,-75.66896449006329,-169.91479272676966
62.64323687553406,19.50987343477166,-56.02607433449835,-75.53594776927001,189.92313600330127
62.70305585861206,19.513813449438288,-56.01374552343731,-75.5275589728756,189.9398655126227
62.762332916259766,19.508315719255364,-56.01224116931614,-75.5205568885715,189.3728704745281
62.82103180885315,19.5089450366461,-56.059551016665736,-75.56849605331183,189.08001121106787
62.880622148513794,19.526696598645756,-56.16311591045967,-75.68981250910542,-170.37768689684347
62.939476013183594,19.526803797118333,-56.13181529587906,-75.65861909299738,-170.38318628498766
62.998981952667236,19.514483771608468,-56.07854900722252,-75.59303277883099,189.0165057522437
63.057010889053345,19.50652442513836,-55.995695983664675,-75.50222040880303,188.7154077533409
63.11603617668152,19.518378482783678,-56.09267861568233,-75.611057098466,188.7898964591039
